,read_id,payload_prediction,library_motif,raw_transcript,quality
25,01fe0b38-d57c-4cd6-b482-127363cc0342,"[[2], [8], [2], [8], [6], [1], [5], []]","['ltm8_2x6', 'ltm8_3x2', 'ltm8_4x8', 'ltm8_5x2', 'ltm8_6x8', 'ltm8_7x6', 'ltm8_8x1', 'ltm8_9x5']",17 5 17 16 1 16 15 6 15 14 8 14 13 2 13 12 8 12 11 2 11 10 6 10 9 10 9,10.73578133161979
26,01ff1505-6a54-4c7f-9100-889fdbe0fff1,"[[6], [], [], [], [2], [3], [2], [7]]","['ltm8_1x2', 'ltm8_2x7', 'ltm8_3x6', 'ltm8_7x2', 'ltm8_8x3', 'ltm8_9x2', 'ltm8_10x7']",18 7 18 17 2 17 16 3 16 15 2 11 6 11 10 7 10 9 2 9,6.9157686361096085
27,02223204-114c-4065-9d30-2fa5f92110b6,"[[2, 6], [], [], [], [], [3], [], [7]]","['ltm8_1x1', 'ltm8_2x5', 'ltm8_3x2', 'ltm8_3x6', 'ltm8_8x3', 'ltm8_10x7']",18 7 18 17 17 16 3 16 11 2 11 6 11 10 5 10 9 1 9,3.8173829616396464
28,022a49c5-d542-4cb8-a4e1-d40d1d7a7c96,"[[7], [6], [6], [3], [], [], [], []]","['ltm8_1x8', 'ltm8_2x5', 'ltm8_3x7', 'ltm8_4x6', 'ltm8_5x6', 'ltm8_6x3']",14 3 14 13 6 13 12 6 12 11 7 11 10 5 10 9 8 9,8.024768422521351
29,022bdb5b-de6a-4c9f-bfd4-de89e1779d66,"[[2], [8], [8], [2], [5], [2], [1], [5]]","['ltm8_1x4', 'ltm8_2x1', 'ltm8_3x2', 'ltm8_4x8', 'ltm8_5x8', 'ltm8_6x2', 'ltm8_7x5', 'ltm8_8x2', 'ltm8_9x1', 'ltm8_10x5']",9 4 9 10 1 10 11 2 11 12 8 12 13 8 13 14 2 14 15 5 15 16 2 16 17 1 17 18 5 18,10.588428456178924
30,02314dc6-2680-4838-beff-5323b72adbf8,"[[2], [1], [1], [8], [6], [8], [5], [3]]","['ltm8_1x2', 'ltm8_2x2', 'ltm8_3x2', 'ltm8_4x1', 'ltm8_5x1', 'ltm8_6x8', 'ltm8_7x6', 'ltm8_8x8', 'ltm8_9x5', 'ltm8_10x3']",9 2 9 10 2 10 11 2 11 12 1 12 13 1 13 14 8 14 15 6 15 16 8 16 17 5 17 18 3 18,10.833987052775676
31,023a4d2d-513d-45b6-aeb6-f9a5045c674c,"[[3], [8], [3], [8], [8], [8], [1], [4]]","['ltm8_1x4', 'ltm8_2x2', 'ltm8_3x3', 'ltm8_4x8', 'ltm8_5x3', 'ltm8_6x8', 'ltm8_7x8', 'ltm8_8x8', 'ltm8_9x1', 'ltm8_10x4']",9 4 9 10 2 10 11 3 11 12 8 12 13 3 13 14 8 14 15 8 15 16 8 16 17 1 17 18 4 18,6.754898540065786
32,023d336d-d8e7-40a7-a764-0d5c1ca977d3,"[[3], [], [], [], [], [8], [8], [2]]","['ltm8_1x7', 'ltm8_2x7', 'ltm8_3x3', 'ltm8_8x8', 'ltm8_9x8', 'ltm8_10x2']",18 2 18 17 17 8 16 8 16 11 3 11 10 7 10 9 7 9,3.0328522820357025
33,025d6548-5963-4eea-9732-4131b6604293,"[[5], [4], [3], [3], [], [], [], []]","['ltm8_1x3', 'ltm8_2x7', 'ltm8_3x5', 'ltm8_4x4', 'ltm8_5x3', 'ltm8_6x3']",18 18 14 3 14 13 3 13 12 4 12 11 5 11 10 7 10 9 3 9,13.745609073390083
34,02718ce1-5a40-4671-9349-396bd282773b,"[[5], [2], [2], [2], [3], [], [], []]","['ltm8_1x2', 'ltm8_2x3', 'ltm8_3x5', 'ltm8_4x2', 'ltm8_5x2', 'ltm8_6x2', 'ltm8_7x3']",15 3 15 14 2 14 13 2 13 12 2 12 11 5 11 10 3 10 9 2 9,8.912698000452963
35,027bd993-9be3-4be0-928f-91eed7bb3b10,"[[], [], [], [], [2, 3, 7], [6], [], [4]]","['ltm8_1x2', 'ltm8_2x6', 'ltm8_7x2', 'ltm8_7x3', 'ltm8_7x7', 'ltm8_8x6', 'ltm8_10x4']",18 4 18 17 17 16 6 15 3 15 2 15 7 11 10 6 10 9 2 9,5.090231721973461
36,0289c9e6-d18c-4702-9009-ab0aedc7d19f,"[[2], [1], [2], [2], [], [], [], []]","['ltm8_1x3', 'ltm8_2x4', 'ltm8_3x2', 'ltm8_4x1', 'ltm8_5x2', 'ltm8_6x2']",14 2 14 13 2 13 12 1 12 11 2 11 10 4 10 9 3 9,21.596259065783965
37,029107b5-0cbf-4123-9d11-84e90430314c,"[[5], [6], [5], [3], [], [], [], []]","['ltm8_1x4', 'ltm8_2x5', 'ltm8_3x5', 'ltm8_4x6', 'ltm8_5x5', 'ltm8_6x3']",14 3 14 13 5 13 12 6 12 11 5 11 10 5 10 9 4 9,10.652065417122827
38,0296dba0-6fdf-42ac-bae2-eaff962944ad,"[[4], [5], [6], [4], [], [], [], []]","['ltm8_1x2', 'ltm8_2x7', 'ltm8_3x4', 'ltm8_4x5', 'ltm8_5x6', 'ltm8_6x4']",14 4 14 13 6 13 12 5 12 11 4 11 10 7 10 9 2 9,9.050755202560223
39,02c058a6-bd7d-4418-95e8-be2f2af434db,"[[8], [2], [2], [], [], [], [], [2, 6]]","['ltm8_1x7', 'ltm8_2x2', 'ltm8_3x8', 'ltm8_4x2', 'ltm8_5x2', 'ltm8_10x2', 'ltm8_10x6']",18 6 18 2 17 13 2 13 12 2 12 11 8 11 10 2 10 9 7 9,5.6666430848390315
40,02c876fc-fb0d-401a-98fd-8a2b35088555,"[[5], [5], [4], [3], [6], [8], [1], [1]]","['ltm8_1x8', 'ltm8_2x1', 'ltm8_3x5', 'ltm8_4x5', 'ltm8_5x4', 'ltm8_6x3', 'ltm8_7x6', 'ltm8_8x8', 'ltm8_9x1', 'ltm8_10x1']",9 8 9 10 1 10 11 5 11 12 5 12 13 4 13 14 3 14 15 6 15 16 8 16 17 1 17 18 1 18,4.838288731105576
41,02ef5f25-b0a7-4d7a-a9b3-9a9d283ee082,"[[4], [4], [3], [4], [7], [2], [1], []]","['ltm8_1x2', 'ltm8_2x7', 'ltm8_3x4', 'ltm8_4x4', 'ltm8_5x3', 'ltm8_6x4', 'ltm8_7x7', 'ltm8_8x2', 'ltm8_9x1']",17 1 17 16 2 16 15 7 15 14 4 14 13 3 13 12 4 12 11 4 11 10 7 10 9 2 9,11.365380757749664
42,02f1aac4-2b1c-4293-ad7c-a655681191f1,"[[4], [2], [1], [2], [], [], [], []]","['ltm8_1x1', 'ltm8_2x2', 'ltm8_3x4', 'ltm8_4x2', 'ltm8_5x1', 'ltm8_6x2']",14 2 14 13 1 13 12 2 12 11 4 11 10 2 10 9 1 9,11.86607038177973
43,02fd678f-c059-4d40-bbff-28dff96a6d35,"[[2], [2], [3], [2], [1], [2], [8], [4]]","['ltm8_1x4', 'ltm8_2x6', 'ltm8_3x2', 'ltm8_4x2', 'ltm8_5x3', 'ltm8_6x2', 'ltm8_7x1', 'ltm8_8x2', 'ltm8_9x8', 'ltm8_10x4']",9 4 9 10 6 10 11 2 11 12 2 12 13 3 13 14 2 14 15 1 15 16 2 16 17 8 17 18 4 18,5.544182748644804
44,030c6c76-f44e-4e1e-9c15-d03d468db9bc,"[[8], [1], [1], [5], [5], [6], [4], [2]]","['ltm8_1x1', 'ltm8_2x6', 'ltm8_3x8', 'ltm8_4x1', 'ltm8_5x1', 'ltm8_6x5', 'ltm8_7x5', 'ltm8_8x6', 'ltm8_9x4', 'ltm8_10x2']",9 1 9 10 6 10 11 8 11 12 1 12 13 1 13 14 5 14 15 5 15 16 6 16 17 4 17 18 2 18,8.96834609167188
45,03122962-d73d-4fd7-b7d7-ddbd48d66cf7,"[[8], [4], [8], [7], [2], [4], [2], []]","['ltm8_1x2', 'ltm8_2x2', 'ltm8_3x8', 'ltm8_4x4', 'ltm8_5x8', 'ltm8_6x7', 'ltm8_7x2', 'ltm8_8x4', 'ltm8_9x2']",17 2 17 16 4 16 15 2 15 14 7 14 13 8 13 12 4 12 11 8 11 10 2 10 9 2 9,14.727759988404879
46,03364485-fb69-499c-aae5-d0093748149d,"[[4], [7], [], [3], [], [], [], []]","['ltm8_1x7', 'ltm8_2x8', 'ltm8_3x4', 'ltm8_4x7', 'ltm8_6x3']",17 14 3 13 12 7 12 11 4 11 10 8 10 9 7 9,7.2114232812617285
47,03364d12-03a2-4128-a747-e6d8e425f868,"[[3], [3], [1], [5], [6], [3], [1], []]","['ltm8_1x6', 'ltm8_2x3', 'ltm8_3x3', 'ltm8_4x3', 'ltm8_5x1', 'ltm8_6x5', 'ltm8_7x6', 'ltm8_8x3', 'ltm8_9x1']",17 1 17 16 3 16 15 6 15 14 5 14 13 1 13 12 3 12 11 3 11 10 3 10 9 6 9,6.391796470556146
48,034773b3-776b-40d8-9c8f-43ae540e31ec,"[[1], [7], [], [1], [], [], [], []]","['ltm8_1x6', 'ltm8_2x2', 'ltm8_3x1', 'ltm8_4x7', 'ltm8_6x1']",14 1 13 12 7 12 11 1 11 10 2 10 9 6 9,8.410321451394369
49,037d2451-ca5c-4a86-9e4d-a26e2eb5a464,"[[1], [6], [3], [6], [1], [4], [1], [5]]","['ltm8_1x2', 'ltm8_2x8', 'ltm8_3x1', 'ltm8_4x6', 'ltm8_5x3', 'ltm8_6x6', 'ltm8_7x1', 'ltm8_8x4', 'ltm8_9x1', 'ltm8_10x5']",9 2 9 10 8 10 11 1 11 12 6 12 13 3 13 14 6 14 15 1 15 16 4 16 17 1 17 18 5 18,5.346199917621764
50,03957f41-7cf2-4e80-a6f0-e4a720065b2e,"[[], [], [], [], [5], [8], [], []]","['ltm8_1x5', 'ltm8_2x5', 'ltm8_7x5', 'ltm8_8x8']",16 8 16 15 5 15 10 5 10 9 5 9,8.460042948811434
51,03b5d3c3-a370-47d1-a28f-204cd12f3a2e,"[[8], [3], [3], [5], [7], [7], [7], [7]]","['ltm8_1x7', 'ltm8_2x7', 'ltm8_3x8', 'ltm8_4x3', 'ltm8_5x3', 'ltm8_6x5', 'ltm8_7x7', 'ltm8_8x7', 'ltm8_9x7', 'ltm8_10x7']",9 7 9 10 7 10 11 8 11 12 3 12 13 3 13 14 5 14 15 7 15 16 7 16 17 7 17 18 7 18,8.824994065131143
52,03b85f10-b757-4851-868e-f15c9021c451,"[[2], [4], [8], [7], [1], [], [], []]","['ltm8_1x6', 'ltm8_2x4', 'ltm8_3x2', 'ltm8_4x4', 'ltm8_5x8', 'ltm8_6x7', 'ltm8_7x1']",15 1 15 14 7 14 13 8 13 12 4 12 11 2 11 10 4 10 9 6 10,10.771706330072153
53,03bacb68-e696-4760-b04e-a9b59797c67f,"[[1], [3], [8], [2], [4], [7], [], []]","['ltm8_1x4', 'ltm8_2x1', 'ltm8_3x1', 'ltm8_4x3', 'ltm8_5x8', 'ltm8_6x2', 'ltm8_7x4', 'ltm8_8x7']",17 16 7 16 15 4 15 14 2 14 13 8 13 12 3 12 11 1 11 10 1 10 9 4 9,12.527143405775458
54,03bed242-2aa0-4717-a6e8-22da1ca12cc3,"[[7], [2], [7], [8], [8], [7], [7], [1]]","['ltm8_1x4', 'ltm8_2x2', 'ltm8_3x7', 'ltm8_4x2', 'ltm8_5x7', 'ltm8_6x8', 'ltm8_7x8', 'ltm8_8x7', 'ltm8_9x7', 'ltm8_10x1']",9 4 9 10 2 10 11 7 11 12 2 12 13 7 13 14 8 14 15 8 15 16 7 16 17 7 17 18 1 18,6.453497615568708
55,03d434fd-6064-4fea-acb5-955373bfbaf7,"[[4], [], [2], [7], [], [], [], []]","['ltm8_1x2', 'ltm8_2x4', 'ltm8_3x4', 'ltm8_5x2', 'ltm8_6x7']",14 7 14 13 2 11 4 11 10 4 10 9 2 9,14.089934238989859
56,03edfa91-37ed-4cbc-9609-8e1b60ce10dc,"[[2], [7], [3], [5], [6], [2], [2], [6]]","['ltm8_1x2', 'ltm8_2x5', 'ltm8_3x2', 'ltm8_4x7', 'ltm8_5x3', 'ltm8_6x5', 'ltm8_7x6', 'ltm8_8x2', 'ltm8_9x2', 'ltm8_10x6']",9 2 9 10 5 10 11 2 11 12 7 12 13 3 13 14 5 14 15 6 15 16 2 16 17 2 17 18 6 18,11.792079814641168
57,03f73ed7-f8a3-473a-b4d1-484f4024941f,"[[8], [3], [3], [8], [2], [2], [3], [3]]","['ltm8_1x2', 'ltm8_2x2', 'ltm8_3x8', 'ltm8_4x3', 'ltm8_5x3', 'ltm8_6x8', 'ltm8_7x2', 'ltm8_8x2', 'ltm8_9x3', 'ltm8_10x3']",9 2 9 10 2 10 11 8 11 12 3 12 13 3 13 14 8 14 15 2 15 16 2 16 17 3 17 18 3 18,5.5932907936050755
58,040ffc88-45d7-4c15-b9ef-70e672073117,"[[2], [7], [3], [4], [6], [2], [5], [1]]","['ltm8_1x1', 'ltm8_2x7', 'ltm8_3x2', 'ltm8_4x7', 'ltm8_5x3', 'ltm8_6x4', 'ltm8_7x6', 'ltm8_8x2', 'ltm8_9x5', 'ltm8_10x1']",9 1 9 10 7 10 11 2 11 12 7 12 13 3 13 14 4 14 15 6 15 16 2 16 17 5 17 18 1 18,6.296173629782985
59,0410ae22-66a1-48a7-9cd8-47077f638ebb,"[[8], [1], [2], [3], [8], [5], [8], [8]]","['ltm8_1x7', 'ltm8_2x7', 'ltm8_3x8', 'ltm8_4x1', 'ltm8_5x2', 'ltm8_6x3', 'ltm8_7x8', 'ltm8_8x5', 'ltm8_9x8', 'ltm8_10x8']",9 7 9 10 7 10 11 8 11 12 1 12 13 2 13 14 3 14 15 8 15 16 5 16 17 8 17 18 8 18,13.339943629490245
60,044c4660-549e-4f9f-a564-17055eb5cb30,"[[2], [], [], [], [5], [], [], []]","['ltm8_1x1', 'ltm8_2x5', 'ltm8_3x2', 'ltm8_7x5']",15 5 15 11 2 11 10 5 10 9 1 9,4.558198173217278
61,0452dbd4-c861-4bd6-970b-32f2caa4b64c,"[[7], [3], [3], [4], [4], [5], [5], [4]]","['ltm8_1x5', 'ltm8_2x4', 'ltm8_3x7', 'ltm8_4x3', 'ltm8_5x3', 'ltm8_6x4', 'ltm8_7x4', 'ltm8_8x5', 'ltm8_9x5', 'ltm8_10x4']",9 5 9 10 4 10 11 7 11 12 3 12 13 3 13 14 4 14 15 4 15 16 5 16 17 5 17 18 4 18,4.620919653452974
62,045a28b1-1bde-42b4-9e13-d2a5ac18d915,"[[2], [8], [], [3], [], [], [], []]","['ltm8_1x6', 'ltm8_2x4', 'ltm8_3x2', 'ltm8_4x8', 'ltm8_6x3']",14 3 14 3 14 12 8 12 11 2 11 10 4 10 9 6 9,6.41276149197422
63,04628122-cb08-4c89-8a01-6f2b06baf30c,"[[7], [4], [1], [], [5], [4], [6], []]","['ltm8_1x6', 'ltm8_2x6', 'ltm8_3x7', 'ltm8_4x4', 'ltm8_5x1', 'ltm8_7x5', 'ltm8_8x4', 'ltm8_9x6']",17 6 17 16 4 16 15 5 15 14 15 14 13 1 13 12 4 12 11 7 11 10 6 10 9 6 9,10.041108269437782
64,04674ee5-6d8d-416e-8482-ab079d72925f,"[[2], [1], [4], [4], [], [], [], []]","['ltm8_1x7', 'ltm8_2x3', 'ltm8_3x2', 'ltm8_4x1', 'ltm8_5x4', 'ltm8_6x4']",14 4 14 13 4 13 12 1 12 11 2 11 10 3 10 9 7 9,12.259149799703746
65,046b4754-fb9a-4278-bdd7-661e9f1a0896,"[[4], [2], [], [2], [4], [2], [], []]","['ltm8_1x2', 'ltm8_2x3', 'ltm8_3x4', 'ltm8_4x2', 'ltm8_6x2', 'ltm8_7x4', 'ltm8_8x2']",16 2 16 15 4 15 14 2 14 13 14 13 12 2 12 11 4 11 10 3 10 9 2 9,8.309983732372212
